+-------+--------+--------------------------------------+-------+-------+-------+----------+-------+------+------+-----+-----+
| COUNT | METHOD |                 URI                  |  MIN  |  AVG  |  MAX  |   SUM    |  P99  | 2XX  | 3XX  | 4XX | 5XX |
+-------+--------+--------------------------------------+-------+-------+-------+----------+-------+------+------+-----+-----+
| 7775  | GET    | /api/chair/notification              | 0.030 | 0.139 | 0.595 | 1079.800 | 0.442 | 7757 | 0    | 18  | 0   |
| 1974  | GET    | /api/app/notification                | 0.011 | 0.342 | 0.928 | 675.973  | 0.698 | 1961 | 0    | 13  | 0   |
| 2098  | POST   | /api/chair/coordinate                | 0.018 | 0.227 | 0.684 | 476.932  | 0.453 | 2098 | 0    | 0   | 0   |
| 69    | GET    | /api/owner/chairs                    | 0.159 | 3.404 | 4.311 | 234.875  | 4.311 | 69   | 0    | 0   | 0   |
| 32    | GET    | /api/app/nearby-chairs               | 3.089 | 4.013 | 4.984 | 128.418  | 4.984 | 31   | 0    | 1   | 0   |
| 28    | GET    | /api/owner/sales                     | 0.160 | 0.452 | 0.636 | 12.658   | 0.636 | 28   | 0    | 0   | 0   |
| 113   | GET    | /api/internal/matching               | 0.001 | 0.109 | 1.450 | 12.280   | 1.349 | 113  | 0    | 0   | 0   |
| 28    | POST   | /api/app/rides                       | 0.132 | 0.263 | 0.468 | 7.374    | 0.468 | 28   | 0    | 0   | 0   |
| 41    | POST   | ^/api/chair/rides/[0-9A-Z]+/status   | 0.039 | 0.131 | 0.383 | 5.363    | 0.383 | 41   | 0    | 0   | 0   |
| 12    | POST   | ^/api/app/rides/[0-9A-Z]+/evaluation | 0.189 | 0.355 | 0.953 | 4.265    | 0.953 | 12   | 0    | 0   | 0   |
| 34    | GET    | /api/app/rides                       | 0.002 | 0.104 | 0.312 | 3.525    | 0.312 | 34   | 0    | 0   | 0   |
| 21    | POST   | /api/app/payment-methods             | 0.026 | 0.108 | 0.159 | 2.272    | 0.159 | 21   | 0    | 0   | 0   |
| 21    | POST   | /api/chair/activity                  | 0.033 | 0.102 | 0.171 | 2.144    | 0.171 | 21   | 0    | 0   | 0   |
| 32    | POST   | /api/app/rides/estimated-fare        | 0.001 | 0.055 | 0.164 | 1.762    | 0.164 | 32   | 0    | 0   | 0   |
| 1     | POST   | /api/initialize                      | 1.590 | 1.590 | 1.590 | 1.590    | 1.590 | 1    | 0    | 0   | 0   |
| 21    | POST   | /api/app/users                       | 0.006 | 0.060 | 0.199 | 1.269    | 0.199 | 21   | 0    | 0   | 0   |
| 21    | POST   | /api/chair/chairs                    | 0.007 | 0.010 | 0.053 | 0.211    | 0.053 | 21   | 0    | 0   | 0   |
| 1     | GET    | /api/owner/sales?                    | 0.185 | 0.185 | 0.185 | 0.185    | 0.185 | 1    | 0    | 0   | 0   |
| 5     | POST   | /api/owner/owners                    | 0.006 | 0.007 | 0.007 | 0.034    | 0.007 | 5    | 0    | 0   | 0   |
| 587   | GET    | ^/images/.+                          | 0.000 | 0.000 | 0.001 | 0.001    | 0.000 | 200  | 387  | 0   | 0   |
| 74    | GET    | ^/owner.*                            | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 6    | 68   | 0   | 0   |
| 1     | GET    | /index.html                          | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1    | 0    | 0   | 0   |
| 1     | GET    | /favicon-128x128.png                 | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1    | 0    | 0   | 0   |
| 138   | GET    | /favicon-32x32.png                   | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 27   | 111  | 0   | 0   |
| 138   | GET    | /favicon.ico                         | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 27   | 111  | 0   | 0   |
| 1     | GET    | /apple-touch-icon-180x180.png        | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1    | 0    | 0   | 0   |
| 2369  | GET    | ^/assets/.+                          | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 618  | 1751 | 0   | 0   |
| 65    | GET    | ^/client.*                           | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 22   | 43   | 0   | 0   |
+-------+--------+--------------------------------------+-------+-------+-------+----------+-------+------+------+-----+-----+
