+-------+--------+--------------------------------------+-------+-------+-------+---------+-------+-------+------+-----+-----+
| COUNT | METHOD |                 URI                  |  MIN  |  AVG  |  MAX  |   SUM   |  P99  |  2XX  | 3XX  | 4XX | 5XX |
+-------+--------+--------------------------------------+-------+-------+-------+---------+-------+-------+------+-----+-----+
| 10762 | GET    | /api/app/notification                | 0.002 | 0.092 | 0.335 | 989.194 | 0.242 | 10741 | 0    | 21  | 0   |
| 18109 | GET    | /api/chair/notification              | 0.001 | 0.053 | 0.264 | 952.886 | 0.153 | 18092 | 0    | 17  | 0   |
| 8523  | POST   | /api/chair/coordinate                | 0.011 | 0.093 | 0.306 | 794.803 | 0.200 | 8523  | 0    | 0   | 0   |
| 140   | GET    | /api/app/nearby-chairs               | 0.067 | 0.615 | 1.304 | 86.094  | 1.203 | 139   | 0    | 1   | 0   |
| 137   | GET    | /api/owner/sales                     | 0.024 | 0.130 | 0.318 | 17.805  | 0.275 | 137   | 0    | 0   | 0   |
| 95    | GET    | /api/internal/matching               | 0.000 | 0.077 | 0.402 | 7.351   | 0.402 | 95    | 0    | 0   | 0   |
| 65    | POST   | /api/app/rides                       | 0.021 | 0.109 | 0.247 | 7.074   | 0.247 | 65    | 0    | 0   | 0   |
| 109   | POST   | ^/api/chair/rides/[0-9A-Z]+/status   | 0.012 | 0.060 | 0.139 | 6.592   | 0.129 | 109   | 0    | 0   | 0   |
| 38    | POST   | ^/api/app/rides/[0-9A-Z]+/evaluation | 0.072 | 0.158 | 0.615 | 5.988   | 0.615 | 38    | 0    | 0   | 0   |
| 142   | GET    | /api/app/rides                       | 0.001 | 0.039 | 0.102 | 5.483   | 0.082 | 142   | 0    | 0   | 0   |
| 166   | GET    | /api/owner/chairs                    | 0.003 | 0.027 | 0.072 | 4.414   | 0.070 | 166   | 0    | 0   | 0   |
| 1     | POST   | /api/initialize                      | 2.594 | 2.594 | 2.594 | 2.594   | 2.594 | 1     | 0    | 0   | 0   |
| 57    | POST   | /api/app/users                       | 0.007 | 0.044 | 0.095 | 2.480   | 0.095 | 57    | 0    | 0   | 0   |
| 57    | POST   | /api/app/payment-methods             | 0.013 | 0.038 | 0.080 | 2.148   | 0.080 | 57    | 0    | 0   | 0   |
| 69    | POST   | /api/app/rides/estimated-fare        | 0.001 | 0.028 | 0.090 | 1.925   | 0.090 | 69    | 0    | 0   | 0   |
| 29    | POST   | /api/chair/activity                  | 0.017 | 0.039 | 0.074 | 1.140   | 0.074 | 29    | 0    | 0   | 0   |
| 29    | POST   | /api/chair/chairs                    | 0.007 | 0.019 | 0.076 | 0.551   | 0.076 | 29    | 0    | 0   | 0   |
| 1     | GET    | /api/owner/sales?                    | 0.043 | 0.043 | 0.043 | 0.043   | 0.043 | 1     | 0    | 0   | 0   |
| 5     | POST   | /api/owner/owners                    | 0.006 | 0.007 | 0.009 | 0.035   | 0.009 | 5     | 0    | 0   | 0   |
| 171   | GET    | ^/owner.*                            | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 6     | 165  | 0   | 0   |
| 405   | GET    | /favicon.ico                         | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 63    | 342  | 0   | 0   |
| 1     | GET    | /index.html                          | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 1     | 0    | 0   | 0   |
| 1     | GET    | /apple-touch-icon-180x180.png        | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 1     | 0    | 0   | 0   |
| 405   | GET    | /favicon-32x32.png                   | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 63    | 342  | 0   | 0   |
| 1     | GET    | /favicon-128x128.png                 | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 1     | 0    | 0   | 0   |
| 2117  | GET    | ^/images/.+                          | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 524   | 1593 | 0   | 0   |
| 6930  | GET    | ^/assets/.+                          | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 1446  | 5484 | 0   | 0   |
| 235   | GET    | ^/client.*                           | 0.000 | 0.000 | 0.000 | 0.000   | 0.000 | 58    | 177  | 0   | 0   |
+-------+--------+--------------------------------------+-------+-------+-------+---------+-------+-------+------+-----+-----+
