+-------+--------+--------------------------------------+-------+-------+-------+----------+-------+-------+------+-----+-----+
| COUNT | METHOD |                 URI                  |  MIN  |  AVG  |  MAX  |   SUM    |  P99  |  2XX  | 3XX  | 4XX | 5XX |
+-------+--------+--------------------------------------+-------+-------+-------+----------+-------+-------+------+-----+-----+
| 20125 | GET    | /api/chair/notification              | 0.001 | 0.052 | 0.191 | 1047.995 | 0.133 | 20113 | 0    | 12  | 0   |
| 12166 | GET    | /api/app/notification                | 0.001 | 0.084 | 0.272 | 1023.193 | 0.204 | 12151 | 0    | 15  | 0   |
| 9624  | POST   | /api/chair/coordinate                | 0.002 | 0.076 | 0.198 | 729.028  | 0.155 | 9624  | 0    | 0   | 0   |
| 109   | GET    | /api/app/nearby-chairs               | 0.039 | 0.593 | 1.185 | 64.611   | 1.123 | 108   | 0    | 1   | 0   |
| 118   | GET    | /api/owner/sales                     | 0.017 | 0.121 | 0.212 | 14.260   | 0.210 | 118   | 0    | 0   | 0   |
| 49    | POST   | ^/api/app/rides/[0-9A-Z]+/evaluation | 0.064 | 0.155 | 0.634 | 7.612    | 0.634 | 49    | 0    | 0   | 0   |
| 81    | POST   | /api/app/rides                       | 0.004 | 0.089 | 0.207 | 7.190    | 0.207 | 81    | 0    | 0   | 0   |
| 120   | POST   | ^/api/chair/rides/[0-9A-Z]+/status   | 0.003 | 0.052 | 0.167 | 6.292    | 0.144 | 120   | 0    | 0   | 0   |
| 89    | GET    | /api/internal/matching               | 0.001 | 0.062 | 0.242 | 5.509    | 0.242 | 88    | 0    | 0   | 1   |
| 166   | GET    | /api/owner/chairs                    | 0.002 | 0.032 | 0.085 | 5.381    | 0.084 | 166   | 0    | 0   | 0   |
| 111   | GET    | /api/app/rides                       | 0.001 | 0.043 | 0.347 | 4.772    | 0.139 | 111   | 0    | 0   | 0   |
| 85    | POST   | /api/app/rides/estimated-fare        | 0.001 | 0.034 | 0.090 | 2.902    | 0.090 | 85    | 0    | 0   | 0   |
| 63    | POST   | /api/app/users                       | 0.001 | 0.041 | 0.095 | 2.605    | 0.095 | 63    | 0    | 0   | 0   |
| 63    | POST   | /api/app/payment-methods             | 0.005 | 0.040 | 0.088 | 2.547    | 0.088 | 63    | 0    | 0   | 0   |
| 1     | POST   | /api/initialize                      | 2.002 | 2.002 | 2.002 | 2.002    | 2.002 | 1     | 0    | 0   | 0   |
| 33    | POST   | /api/chair/activity                  | 0.016 | 0.046 | 0.112 | 1.527    | 0.112 | 33    | 0    | 0   | 0   |
| 33    | POST   | /api/chair/chairs                    | 0.001 | 0.017 | 0.100 | 0.567    | 0.100 | 33    | 0    | 0   | 0   |
| 1     | GET    | /api/owner/sales?                    | 0.042 | 0.042 | 0.042 | 0.042    | 0.042 | 1     | 0    | 0   | 0   |
| 5     | POST   | /api/owner/owners                    | 0.000 | 0.000 | 0.001 | 0.002    | 0.001 | 5     | 0    | 0   | 0   |
| 1     | GET    | /apple-touch-icon-180x180.png        | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1     | 0    | 0   | 0   |
| 391   | GET    | /favicon.ico                         | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 69    | 322  | 0   | 0   |
| 391   | GET    | /favicon-32x32.png                   | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 69    | 322  | 0   | 0   |
| 1991  | GET    | ^/images/.+                          | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 578   | 1413 | 0   | 0   |
| 171   | GET    | ^/owner.*                            | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 6     | 165  | 0   | 0   |
| 6728  | GET    | ^/assets/.+                          | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1584  | 5144 | 0   | 0   |
| 1     | GET    | /index.html                          | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1     | 0    | 0   | 0   |
| 1     | GET    | /favicon-128x128.png                 | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1     | 0    | 0   | 0   |
| 221   | GET    | ^/client.*                           | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 64    | 157  | 0   | 0   |
+-------+--------+--------------------------------------+-------+-------+-------+----------+-------+-------+------+-----+-----+
