procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6763856  34156 823892    0    0   223   254 2873   10  1  0 98  0  0  0 2026-09-21 16:12:48
 0  0      0 6737728  34156 824060    0    0     0     0 2392 2449  3  2 96  0  0  0 2026-09-21 16:12:49
 0  0      0 6737728  34156 824060    0    0     0     0   49   55  0  0 100  0  0  0 2026-09-21 16:12:50
 0  0      0 6734612  34156 824060    0    0     0     0 10041 13291  4  1 95  0  0  0 2026-09-21 16:12:51
 0  0      0 6731680  34156 824060    0    0     0    24 13927 22425  3  2 96  0  0  0 2026-09-21 16:12:52
 0  0      0 6726788  34156 824060    0    0     0     0 22770 34189  7  3 90  0  0  0 2026-09-21 16:12:53
 0  0      0 6714292  34156 824060    0    0     0     0 22354 33177  7  3 90  0  0  0 2026-09-21 16:12:54
 1  0      0 6699192  34156 824060    0    0     0     0 27464 38192  9  4 88  0  0  0 2026-09-21 16:12:55
 0  0      0 6696148  34156 824076    0    0     0     0 22915 33313  6  3 91  0  0  0 2026-09-21 16:12:56
 0  0      0 6687832  34156 824076    0    0     0     0 21100 30072  6  2 92  0  0  0 2026-09-21 16:12:57
 0  0      0 6677784  34156 824076    0    0     0     0 23210 33337  6  3 91  0  0  0 2026-09-21 16:12:58
 0  0      0 6675988  34156 824076    0    0     0     0 23138 32676  5  3 92  0  0  0 2026-09-21 16:12:59
 0  0      0 6670444  34156 824076    0    0     0     0 24304 34078  6  3 91  0  0  0 2026-09-21 16:13:00
 0  0      0 6665540  34156 824092    0    0     0     0 21744 30420  5  2 93  0  0  0 2026-09-21 16:13:01
 0  0      0 6660364  34156 824096    0    0     0     0 22034 30552  7  3 90  0  0  0 2026-09-21 16:13:02
 0  0      0 6660364  34156 824096    0    0     0     0 22387 32059  5  2 93  0  0  0 2026-09-21 16:13:03
 0  0      0 6650284  34156 824116    0    0     0     0 21523 28896  6  3 91  0  0  0 2026-09-21 16:13:04
 0  0      0 6650032  34156 824116    0    0     0     0 20684 28634  5  2 93  0  0  0 2026-09-21 16:13:05
 0  0      0 6641824  34156 824116    0    0     0     0 22224 30345  6  2 91  0  0  0 2026-09-21 16:13:06
 0  0      0 6640708  34156 824116    0    0     0     0 21492 29855  6  3 91  0  0  0 2026-09-21 16:13:07
 0  0      0 6640708  34156 824116    0    0     0     0 21554 30047  5  3 92  0  0  0 2026-09-21 16:13:08
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 0  0      0 6630396  34156 824120    0    0     0     0 22714 31693  5  3 92  0  0  0 2026-09-21 16:13:09
 0  0      0 6629368  34156 824120    0    0     0     0 20338 28113  6  3 91  0  0  0 2026-09-21 16:13:10
 0  0      0 6628692  34156 824120    0    0     0     0 22214 31193  4  3 93  0  0  0 2026-09-21 16:13:11
 0  0      0 6628612  34156 824120    0    0     0     0 21343 29955  6  2 92  0  0  0 2026-09-21 16:13:12
 0  0      0 6617000  34156 824120    0    0     0     0 22616 31039  7  3 90  0  0  0 2026-09-21 16:13:13
 0  0      0 6616768  34156 824120    0    0     0     0 22587 31508  6  2 92  0  0  0 2026-09-21 16:13:14
 0  0      0 6616424  34156 824120    0    0     0     0 21025 29602  5  2 93  0  0  0 2026-09-21 16:13:15
 0  0      0 6610216  34156 824128    0    0     0     0 21521 30152  5  3 92  0  0  0 2026-09-21 16:13:16
 0  0      0 6604924  34156 824128    0    0     0     0 20549 28398  6  2 92  0  0  0 2026-09-21 16:13:17
 0  0      0 6603720  34156 824128    0    0     0     0 20943 29057  5  2 93  0  0  0 2026-09-21 16:13:18
 1  0      0 6600388  34164 824164    0    0     0  7480 23335 32785  6  3 91  0  0  0 2026-09-21 16:13:19
 0  0      0 6596104  34164 824164    0    0     0     0 21964 30757  6  2 92  0  0  0 2026-09-21 16:13:20
 0  0      0 6596104  34164 824164    0    0     0     0 18837 26544  5  2 94  0  0  0 2026-09-21 16:13:21
 0  0      0 6594500  34164 824168    0    0     0     0 23226 32070  6  3 92  0  0  0 2026-09-21 16:13:22
 0  0      0 6581272  34164 824208    0    0     0     0 21317 29639  6  3 91  0  0  0 2026-09-21 16:13:23
 0  0      0 6577456  34164 824208    0    0     0     0 20493 28808  6  2 92  0  0  0 2026-09-21 16:13:24
 0  0      0 6577284  34164 824208    0    0     0     0 20440 28970  5  2 93  0  0  0 2026-09-21 16:13:25
 1  0      0 6575944  34164 824208    0    0     0     0 20554 28725  5  3 92  0  0  0 2026-09-21 16:13:26
 0  0      0 6570144  34164 824208    0    0     0     0 22205 30971  6  3 92  0  0  0 2026-09-21 16:13:27
 0  0      0 6558784  34164 824212    0    0     0     0 19990 27393  7  2 91  0  0  0 2026-09-21 16:13:28
 0  0      0 6557776  34164 824212    0    0     0     0 21096 29334  5  2 92  0  0  0 2026-09-21 16:13:29
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0 6557776  34164 824228    0    0     0     0 20922 29204  5  2 93  0  0  0 2026-09-21 16:13:30
 0  0      0 6557008  34164 824248    0    0     0     0 19666 27557  5  2 94  0  0  0 2026-09-21 16:13:31
 0  0      0 6556768  34164 824248    0    0     0     0 20134 28516  6  2 92  0  0  0 2026-09-21 16:13:32
 0  0      0 6538436  34164 824252    0    0     0     0 21570 29670  7  3 90  0  0  0 2026-09-21 16:13:33
 0  0      0 6538372  34164 824288    0    0     0     0 19374 27447  6  2 93  0  0  0 2026-09-21 16:13:34
 0  0      0 6537364  34164 824288    0    0     0     0 21470 30431  5  3 92  0  0  0 2026-09-21 16:13:35
 0  0      0 6536092  34164 824288    0    0     0     0 21461 30137  5  2 93  0  0  0 2026-09-21 16:13:36
 0  0      0 6535852  34164 824288    0    0     0     0 21338 30262  5  2 93  0  0  0 2026-09-21 16:13:37
 0  0      0 6531140  34164 824288    0    0     0     0 21388 30501  5  2 93  0  0  0 2026-09-21 16:13:38
 0  0      0 6518828  34164 824288    0    0     0     0 17351 24645  5  2 93  0  0  0 2026-09-21 16:13:39
 0  0      0 6514936  34164 824288    0    0     0     0 20501 28323  7  2 90  0  0  0 2026-09-21 16:13:40
 2  0      0 6514936  34164 824288    0    0     0     0 18623 26726  5  2 93  0  0  0 2026-09-21 16:13:41
 0  0      0 6514076  34164 824288    0    0     0     0 21296 29764  6  2 92  0  0  0 2026-09-21 16:13:42
 1  0      0 6513676  34164 824292    0    0     0     0 17759 25402  4  2 94  0  0  0 2026-09-21 16:13:43
 0  0      0 6512416  34164 824292    0    0     0     0 20773 29383  5  2 93  0  0  0 2026-09-21 16:13:44
 0  0      0 6509000  34164 824292    0    0     0     0 20483 28750  5  2 93  0  0  0 2026-09-21 16:13:45
