+-------+--------+-------------------------------+-------+-------+-------+-------+-------+-----+-----+-----+-----+
| COUNT | METHOD |              URI              |  MIN  |  AVG  |  MAX  |  SUM  |  P99  | 2XX | 3XX | 4XX | 5XX |
+-------+--------+-------------------------------+-------+-------+-------+-------+-------+-----+-----+-----+-----+
| 1     | POST   | /api/initialize               | 2.001 | 2.001 | 2.001 | 2.001 | 2.001 | 1   | 0   | 0   | 0   |
| 20    | POST   | /api/chair/chairs             | 0.001 | 0.001 | 0.004 | 0.025 | 0.004 | 20  | 0   | 0   | 0   |
| 10    | POST   | /api/app/users                | 0.001 | 0.001 | 0.002 | 0.012 | 0.002 | 10  | 0   | 0   | 0   |
| 7     | GET    | /api/internal/matching        | 0.001 | 0.001 | 0.002 | 0.008 | 0.002 | 7   | 0   | 0   | 0   |
| 1     | GET    | /api/owner/chairs             | 0.003 | 0.003 | 0.003 | 0.003 | 0.003 | 1   | 0   | 0   | 0   |
| 5     | POST   | /api/owner/owners             | 0.001 | 0.001 | 0.001 | 0.003 | 0.001 | 5   | 0   | 0   | 0   |
| 1     | GET    | /api/owner/sales?             | 0.002 | 0.002 | 0.002 | 0.002 | 0.002 | 0   | 0   | 0   | 1   |
| 1     | GET    | /api/app/nearby-chairs        | 0.001 | 0.001 | 0.001 | 0.001 | 0.001 | 0   | 0   | 1   | 0   |
| 101   | GET    | ^/images/.+                   | 0.000 | 0.000 | 0.001 | 0.001 | 0.000 | 101 | 0   | 0   | 0   |
| 1     | GET    | /favicon-128x128.png          | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 1   | 0   | 0   | 0   |
| 6     | GET    | ^/owner.*                     | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 6   | 0   | 0   | 0   |
| 16    | GET    | /favicon.ico                  | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 16  | 0   | 0   | 0   |
| 1     | GET    | /apple-touch-icon-180x180.png | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 1   | 0   | 0   | 0   |
| 16    | GET    | /favicon-32x32.png            | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 16  | 0   | 0   | 0   |
| 1     | GET    | /index.html                   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 1   | 0   | 0   | 0   |
| 355   | GET    | ^/assets/.+                   | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 355 | 0   | 0   | 0   |
| 11    | GET    | ^/client.*                    | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 11  | 0   | 0   | 0   |
+-------+--------+-------------------------------+-------+-------+-------+-------+-------+-----+-----+-----+-----+
