+-------+--------+--------------------------------------+-------+-------+-------+----------+-------+-------+-------+-----+-----+
| COUNT | METHOD |                 URI                  |  MIN  |  AVG  |  MAX  |   SUM    |  P99  |  2XX  |  3XX  | 4XX | 5XX |
+-------+--------+--------------------------------------+-------+-------+-------+----------+-------+-------+-------+-----+-----+
| 52675 | GET    | /api/chair/notification              | 0.001 | 0.035 | 0.706 | 1846.421 | 0.227 | 52675 | 0     | 0   | 0   |
| 28447 | POST   | /api/chair/coordinate                | 0.002 | 0.064 | 0.841 | 1809.603 | 0.266 | 28447 | 0     | 0   | 0   |
| 969   | GET    | /api/app/nearby-chairs               | 0.004 | 1.433 | 4.759 | 1388.140 | 4.492 | 968   | 0     | 1   | 0   |
| 37643 | GET    | /api/app/notification                | 0.001 | 0.027 | 0.637 | 1007.560 | 0.197 | 37643 | 0     | 0   | 0   |
| 658   | POST   | ^/api/app/rides/[0-9A-Z]+/evaluation | 0.035 | 0.475 | 2.267 | 312.350  | 1.885 | 658   | 0     | 0   | 0   |
| 1352  | POST   | ^/api/chair/rides/[0-9A-Z]+/status   | 0.002 | 0.073 | 0.546 | 98.913   | 0.309 | 1352  | 0     | 0   | 0   |
| 971   | GET    | /api/app/rides                       | 0.001 | 0.081 | 0.782 | 78.929   | 0.381 | 971   | 0     | 0   | 0   |
| 757   | POST   | /api/app/rides                       | 0.003 | 0.090 | 0.487 | 68.387   | 0.359 | 757   | 0     | 0   | 0   |
| 162   | GET    | /api/owner/sales                     | 0.008 | 0.261 | 0.679 | 42.307   | 0.665 | 162   | 0     | 0   | 0   |
| 761   | POST   | /api/app/rides/estimated-fare        | 0.001 | 0.053 | 0.379 | 40.132   | 0.282 | 761   | 0     | 0   | 0   |
| 79    | GET    | /api/internal/matching               | 0.001 | 0.341 | 2.262 | 26.936   | 2.262 | 79    | 0     | 0   | 0   |
| 236   | POST   | /api/app/payment-methods             | 0.001 | 0.053 | 0.379 | 12.581   | 0.305 | 236   | 0     | 0   | 0   |
| 192   | POST   | /api/chair/chairs                    | 0.001 | 0.060 | 0.315 | 11.554   | 0.314 | 192   | 0     | 0   | 0   |
| 188   | POST   | /api/chair/activity                  | 0.003 | 0.055 | 0.335 | 10.332   | 0.293 | 188   | 0     | 0   | 0   |
| 164   | GET    | /api/owner/chairs                    | 0.001 | 0.062 | 0.407 | 10.166   | 0.384 | 164   | 0     | 0   | 0   |
| 236   | POST   | /api/app/users                       | 0.001 | 0.036 | 0.220 | 8.407    | 0.187 | 236   | 0     | 0   | 0   |
| 1     | POST   | /api/initialize                      | 2.050 | 2.050 | 2.050 | 2.050    | 2.050 | 1     | 0     | 0   | 0   |
| 1     | GET    | /api/owner/sales?                    | 0.040 | 0.040 | 0.040 | 0.040    | 0.040 | 1     | 0     | 0   | 0   |
| 5     | POST   | /api/owner/owners                    | 0.001 | 0.001 | 0.001 | 0.004    | 0.001 | 5     | 0     | 0   | 0   |
| 169   | GET    | ^/owner.*                            | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 6     | 163   | 0   | 0   |
| 2031  | GET    | /favicon.ico                         | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 242   | 1789  | 0   | 0   |
| 1     | GET    | /apple-touch-icon-180x180.png        | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1     | 0     | 0   | 0   |
| 1     | GET    | /index.html                          | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1     | 0     | 0   | 0   |
| 2031  | GET    | /favicon-32x32.png                   | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 242   | 1789  | 0   | 0   |
| 1     | GET    | /favicon-128x128.png                 | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1     | 0     | 0   | 0   |
| 16769 | GET    | ^/images/.+                          | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 2135  | 14634 | 0   | 0   |
| 35650 | GET    | ^/assets/.+                          | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 5563  | 30087 | 0   | 0   |
| 1863  | GET    | ^/client.*                           | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 237   | 1626  | 0   | 0   |
+-------+--------+--------------------------------------+-------+-------+-------+----------+-------+-------+-------+-----+-----+
