+--------+--------+--------------------------------------+-------+-------+-------+----------+-------+--------+-------+-----+-----+
| COUNT  | METHOD |                 URI                  |  MIN  |  AVG  |  MAX  |   SUM    |  P99  |  2XX   |  3XX  | 4XX | 5XX |
+--------+--------+--------------------------------------+-------+-------+-------+----------+-------+--------+-------+-----+-----+
| 82568  | POST   | /api/chair/coordinate                | 0.001 | 0.036 | 0.421 | 2959.440 | 0.138 | 82568  | 0     | 0   | 0   |
| 112262 | GET    | /api/app/notification                | 0.001 | 0.024 | 0.317 | 2712.996 | 0.088 | 112262 | 0     | 0   | 0   |
| 80210  | GET    | /api/chair/notification              | 0.001 | 0.027 | 0.429 | 2178.267 | 0.094 | 80210  | 0     | 0   | 0   |
| 1809   | POST   | ^/api/app/rides/[0-9A-Z]+/evaluation | 0.033 | 0.619 | 2.459 | 1119.627 | 2.049 | 1809   | 0     | 0   | 0   |
| 3941   | POST   | ^/api/chair/rides/[0-9A-Z]+/status   | 0.001 | 0.056 | 0.330 | 219.854  | 0.183 | 3941   | 0     | 0   | 0   |
| 2763   | GET    | /api/app/rides                       | 0.001 | 0.057 | 0.335 | 157.677  | 0.243 | 2763   | 0     | 0   | 0   |
| 2089   | POST   | /api/app/rides                       | 0.002 | 0.057 | 0.302 | 118.334  | 0.191 | 2089   | 0     | 0   | 0   |
| 2093   | POST   | /api/app/rides/estimated-fare        | 0.001 | 0.034 | 0.362 | 70.164   | 0.149 | 2093   | 0     | 0   | 0   |
| 2758   | GET    | /api/app/nearby-chairs               | 0.001 | 0.015 | 0.096 | 42.629   | 0.074 | 2757   | 0     | 1   | 0   |
| 116    | GET    | /api/owner/sales                     | 0.005 | 0.174 | 0.559 | 20.194   | 0.554 | 116    | 0     | 0   | 0   |
| 504    | POST   | /api/app/users                       | 0.001 | 0.029 | 0.276 | 14.421   | 0.136 | 504    | 0     | 0   | 0   |
| 489    | POST   | /api/app/payment-methods             | 0.001 | 0.024 | 0.227 | 11.782   | 0.127 | 489    | 0     | 0   | 0   |
| 270    | POST   | /api/chair/activity                  | 0.004 | 0.034 | 0.163 | 9.138    | 0.144 | 270    | 0     | 0   | 0   |
| 272    | POST   | /api/chair/chairs                    | 0.001 | 0.029 | 0.183 | 7.861    | 0.177 | 272    | 0     | 0   | 0   |
| 121    | GET    | /api/owner/chairs                    | 0.001 | 0.023 | 0.141 | 2.815    | 0.116 | 121    | 0     | 0   | 0   |
| 1      | POST   | /api/initialize                      | 2.063 | 2.063 | 2.063 | 2.063    | 2.063 | 1      | 0     | 0   | 0   |
| 90     | GET    | /api/internal/matching               | 0.001 | 0.018 | 0.080 | 1.630    | 0.080 | 90     | 0     | 0   | 0   |
| 1      | GET    | /api/owner/sales?                    | 0.041 | 0.041 | 0.041 | 0.041    | 0.041 | 1      | 0     | 0   | 0   |
| 45668  | GET    | ^/images/.+                          | 0.000 | 0.000 | 0.025 | 0.040    | 0.000 | 4547   | 41121 | 0   | 0   |
| 91185  | GET    | ^/assets/.+                          | 0.000 | 0.000 | 0.004 | 0.006    | 0.000 | 11712  | 79473 | 0   | 0   |
| 5      | POST   | /api/owner/owners                    | 0.000 | 0.001 | 0.001 | 0.004    | 0.001 | 5      | 0     | 0   | 0   |
| 1      | GET    | /index.html                          | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1      | 0     | 0   | 0   |
| 5199   | GET    | /favicon-32x32.png                   | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 510    | 4689  | 0   | 0   |
| 1      | GET    | /favicon-128x128.png                 | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1      | 0     | 0   | 0   |
| 1      | GET    | /apple-touch-icon-180x180.png        | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1      | 0     | 0   | 0   |
| 5199   | GET    | /favicon.ico                         | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 510    | 4689  | 0   | 0   |
| 126    | GET    | ^/owner.*                            | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 6      | 120   | 0   | 0   |
| 5074   | GET    | ^/client.*                           | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 505    | 4569  | 0   | 0   |
+--------+--------+--------------------------------------+-------+-------+-------+----------+-------+--------+-------+-----+-----+
