+--------+--------+--------------------------------------+-------+-------+-------+----------+-------+--------+--------+-----+-----+
| COUNT  | METHOD |                 URI                  |  MIN  |  AVG  |  MAX  |   SUM    |  P99  |  2XX   |  3XX   | 4XX | 5XX |
+--------+--------+--------------------------------------+-------+-------+-------+----------+-------+--------+--------+-----+-----+
| 100009 | POST   | /api/chair/coordinate                | 0.001 | 0.052 | 1.006 | 5162.459 | 0.356 | 100009 | 0      | 0   | 0   |
| 194319 | GET    | /api/app/notification                | 0.001 | 0.010 | 0.835 | 1949.058 | 0.122 | 194319 | 0      | 0   | 0   |
| 2448   | POST   | ^/api/app/rides/[0-9A-Z]+/evaluation | 0.033 | 0.638 | 2.629 | 1562.269 | 2.201 | 2448   | 0      | 0   | 0   |
| 119052 | GET    | /api/chair/notification              | 0.000 | 0.013 | 0.870 | 1508.173 | 0.165 | 119052 | 0      | 0   | 0   |
| 5396   | POST   | ^/api/chair/rides/[0-9A-Z]+/status   | 0.002 | 0.068 | 0.775 | 365.029  | 0.365 | 5396   | 0      | 0   | 0   |
| 3687   | GET    | /api/app/rides                       | 0.001 | 0.063 | 0.837 | 231.932  | 0.365 | 3687   | 0      | 0   | 0   |
| 2888   | POST   | /api/app/rides                       | 0.002 | 0.071 | 0.896 | 203.704  | 0.352 | 2888   | 0      | 0   | 0   |
| 2892   | POST   | /api/app/rides/estimated-fare        | 0.001 | 0.049 | 0.696 | 140.340  | 0.337 | 2892   | 0      | 0   | 0   |
| 159    | GET    | /api/owner/sales                     | 0.005 | 0.249 | 1.199 | 39.512   | 0.998 | 159    | 0      | 0   | 0   |
| 749    | POST   | /api/app/payment-methods             | 0.001 | 0.050 | 0.695 | 37.788   | 0.425 | 749    | 0      | 0   | 0   |
| 439    | POST   | /api/chair/activity                  | 0.003 | 0.078 | 0.719 | 34.061   | 0.554 | 439    | 0      | 0   | 0   |
| 459    | POST   | /api/chair/chairs                    | 0.001 | 0.071 | 0.819 | 32.560   | 0.504 | 459    | 0      | 0   | 0   |
| 753    | POST   | /api/app/users                       | 0.001 | 0.037 | 0.485 | 27.996   | 0.268 | 753    | 0      | 0   | 0   |
| 3685   | GET    | /api/app/nearby-chairs               | 0.003 | 0.003 | 0.067 | 10.310   | 0.028 | 3684   | 0      | 1   | 0   |
| 124    | GET    | /api/internal/matching               | 0.001 | 0.029 | 0.283 | 3.544    | 0.174 | 124    | 0      | 0   | 0   |
| 137    | GET    | /api/owner/chairs                    | 0.001 | 0.020 | 0.161 | 2.802    | 0.157 | 137    | 0      | 0   | 0   |
| 1      | POST   | /api/initialize                      | 1.996 | 1.996 | 1.996 | 1.996    | 1.996 | 1      | 0      | 0   | 0   |
| 1      | GET    | /api/owner/sales?                    | 0.039 | 0.039 | 0.039 | 0.039    | 0.039 | 1      | 0      | 0   | 0   |
| 5      | POST   | /api/owner/owners                    | 0.000 | 0.000 | 0.001 | 0.002    | 0.001 | 5      | 0      | 0   | 0   |
| 1      | GET    | /favicon-128x128.png                 | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1      | 0      | 0   | 0   |
| 1      | GET    | /index.html                          | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1      | 0      | 0   | 0   |
| 1      | GET    | /apple-touch-icon-180x180.png        | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 1      | 0      | 0   | 0   |
| 7027   | GET    | /favicon.ico                         | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 759    | 6268   | 0   | 0   |
| 7027   | GET    | /favicon-32x32.png                   | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 759    | 6268   | 0   | 0   |
| 61976  | GET    | ^/images/.+                          | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 6788   | 55188  | 0   | 0   |
| 123734 | GET    | ^/assets/.+                          | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 17450  | 106284 | 0   | 0   |
| 6886   | GET    | ^/client.*                           | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 754    | 6132   | 0   | 0   |
| 142    | GET    | ^/owner.*                            | 0.000 | 0.000 | 0.000 | 0.000    | 0.000 | 6      | 136    | 0   | 0   |
+--------+--------+--------------------------------------+-------+-------+-------+----------+-------+--------+--------+-----+-----+
