+--------+--------+--------------------------------------+-------+--------+--------+-----------+--------+-------+--------+-----+-----+
| COUNT  | METHOD |                 URI                  |  MIN  |  AVG   |  MAX   |    SUM    |  P99   |  2XX  |  3XX   | 4XX | 5XX |
+--------+--------+--------------------------------------+-------+--------+--------+-----------+--------+-------+--------+-----+-----+
| 4447   | GET    | /api/app/notification                | 0.450 | 7.166  | 19.158 | 31867.767 | 13.840 | 4447  | 0      | 0   | 0   |
| 406    | GET    | /api/chair/notification              | 5.182 | 15.816 | 37.988 | 6421.286  | 37.981 | 406   | 0      | 0   | 0   |
| 2608   | POST   | ^/api/app/rides/[0-9A-Z]+/evaluation | 0.033 | 0.334  | 1.661  | 869.776   | 1.071  | 2608  | 0      | 0   | 0   |
| 55295  | POST   | /api/chair/coordinate                | 0.001 | 0.005  | 0.643  | 295.750   | 0.064  | 55295 | 0      | 0   | 0   |
| 4534   | POST   | /api/app/rides                       | 0.002 | 0.060  | 0.533  | 271.582   | 0.326  | 4534  | 0      | 0   | 0   |
| 5507   | GET    | /api/app/rides                       | 0.001 | 0.034  | 0.821  | 189.717   | 0.316  | 5507  | 0      | 0   | 0   |
| 5521   | POST   | ^/api/chair/rides/[0-9A-Z]+/status   | 0.001 | 0.032  | 0.844  | 177.360   | 0.250  | 5521  | 0      | 0   | 0   |
| 4538   | POST   | /api/app/rides/estimated-fare        | 0.001 | 0.021  | 0.523  | 96.458    | 0.218  | 4538  | 0      | 0   | 0   |
| 2181   | POST   | /api/app/users                       | 0.001 | 0.036  | 0.521  | 78.556    | 0.238  | 2181  | 0      | 0   | 0   |
| 2090   | POST   | /api/app/payment-methods             | 0.001 | 0.031  | 0.842  | 64.148    | 0.354  | 2090  | 0      | 0   | 0   |
| 82     | GET    | /api/owner/sales                     | 0.003 | 0.253  | 1.878  | 20.750    | 1.878  | 82    | 0      | 0   | 0   |
| 5505   | GET    | /api/app/nearby-chairs               | 0.001 | 0.002  | 0.033  | 13.233    | 0.020  | 5504  | 0      | 1   | 0   |
| 442    | POST   | /api/chair/chairs                    | 0.001 | 0.015  | 0.274  | 6.531     | 0.153  | 442   | 0      | 0   | 0   |
| 406    | POST   | /api/chair/activity                  | 0.001 | 0.015  | 0.216  | 6.035     | 0.071  | 406   | 0      | 0   | 0   |
| 1      | POST   | /api/initialize                      | 2.027 | 2.027  | 2.027  | 2.027     | 2.027  | 1     | 0      | 0   | 0   |
| 77     | GET    | /api/owner/chairs                    | 0.003 | 0.002  | 0.035  | 0.144     | 0.035  | 77    | 0      | 0   | 0   |
| 1      | GET    | /api/owner/sales?                    | 0.038 | 0.038  | 0.038  | 0.038     | 0.038  | 1     | 0      | 0   | 0   |
| 5      | POST   | /api/owner/owners                    | 0.001 | 0.001  | 0.001  | 0.004     | 0.001  | 5     | 0      | 0   | 0   |
| 82     | GET    | ^/owner.*                            | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 6     | 76     | 0   | 0   |
| 1      | GET    | /favicon-128x128.png                 | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 1     | 0      | 0   | 0   |
| 1      | GET    | /index.html                          | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 1     | 0      | 0   | 0   |
| 10375  | GET    | /favicon.ico                         | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 2187  | 8188   | 0   | 0   |
| 1      | GET    | /apple-touch-icon-180x180.png        | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 1     | 0      | 0   | 0   |
| 10375  | GET    | /favicon-32x32.png                   | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 2187  | 8188   | 0   | 0   |
| 92648  | GET    | ^/images/.+                          | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 19640 | 73008  | 0   | 0   |
| 189251 | GET    | ^/assets/.+                          | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 50207 | 139044 | 0   | 0   |
| 10294  | GET    | ^/client.*                           | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 2182  | 8112   | 0   | 0   |
+--------+--------+--------------------------------------+-------+--------+--------+-----------+--------+-------+--------+-----+-----+
