+--------+--------+--------------------------------------+-------+--------+--------+------------+--------+--------+--------+-----+-----+
| COUNT  | METHOD |                 URI                  |  MIN  |  AVG   |  MAX   |    SUM     |  P99   |  2XX   |  3XX   | 4XX | 5XX |
+--------+--------+--------------------------------------+-------+--------+--------+------------+--------+--------+--------+-----+-----+
| 11930  | GET    | /api/app/notification                | 0.360 | 8.953  | 38.774 | 106807.845 | 16.728 | 11930  | 0      | 0   | 0   |
| 1178   | GET    | /api/chair/notification              | 1.818 | 31.017 | 60.053 | 36537.623  | 60.020 | 1178   | 0      | 0   | 0   |
| 188690 | POST   | /api/chair/coordinate                | 0.001 | 0.022  | 0.302  | 4100.235   | 0.098  | 188690 | 0      | 0   | 0   |
| 9659   | POST   | ^/api/app/rides/[0-9A-Z]+/evaluation | 0.033 | 0.186  | 1.241  | 1795.088   | 0.469  | 9659   | 0      | 0   | 0   |
| 20341  | POST   | ^/api/chair/rides/[0-9A-Z]+/status   | 0.001 | 0.047  | 0.439  | 958.737    | 0.161  | 20341  | 0      | 0   | 0   |
| 12348  | POST   | /api/app/rides                       | 0.002 | 0.050  | 0.321  | 611.431    | 0.187  | 12348  | 0      | 0   | 0   |
| 12352  | POST   | /api/app/rides/estimated-fare        | 0.001 | 0.033  | 0.293  | 409.425    | 0.140  | 12352  | 0      | 0   | 0   |
| 12801  | GET    | /api/app/nearby-chairs               | 0.001 | 0.018  | 0.131  | 230.105    | 0.080  | 12800  | 0      | 1   | 0   |
| 12803  | GET    | /api/app/rides                       | 0.001 | 0.018  | 0.131  | 227.523    | 0.076  | 12803  | 0      | 0   | 0   |
| 3217   | POST   | /api/app/users                       | 0.001 | 0.034  | 0.301  | 109.235    | 0.182  | 3217   | 0      | 0   | 0   |
| 3166   | POST   | /api/app/payment-methods             | 0.001 | 0.026  | 0.217  | 81.579     | 0.141  | 3166   | 0      | 0   | 0   |
| 111    | GET    | /api/owner/sales                     | 0.003 | 0.419  | 1.871  | 46.552     | 1.816  | 111    | 0      | 0   | 0   |
| 1154   | POST   | /api/chair/activity                  | 0.001 | 0.031  | 0.240  | 35.470     | 0.123  | 1154   | 0      | 0   | 0   |
| 1270   | POST   | /api/chair/chairs                    | 0.000 | 0.028  | 0.264  | 35.292     | 0.128  | 1270   | 0      | 0   | 0   |
| 1      | POST   | /api/initialize                      | 2.020 | 2.020  | 2.020  | 2.020      | 2.020  | 1      | 0      | 0   | 0   |
| 86     | GET    | /api/owner/chairs                    | 0.001 | 0.008  | 0.059  | 0.676      | 0.059  | 86     | 0      | 0   | 0   |
| 1      | GET    | /api/owner/sales?                    | 0.048 | 0.048  | 0.048  | 0.048      | 0.048  | 1      | 0      | 0   | 0   |
| 5      | POST   | /api/owner/owners                    | 0.001 | 0.001  | 0.001  | 0.004      | 0.001  | 5      | 0      | 0   | 0   |
| 1      | GET    | /favicon-128x128.png                 | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 1      | 0      | 0   | 0   |
| 1      | GET    | /index.html                          | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 1      | 0      | 0   | 0   |
| 91     | GET    | ^/owner.*                            | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 6      | 85     | 0   | 0   |
| 25767  | GET    | /favicon-32x32.png                   | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 3223   | 22544  | 0   | 0   |
| 1      | GET    | /apple-touch-icon-180x180.png        | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 1      | 0      | 0   | 0   |
| 25767  | GET    | /favicon.ico                         | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 3223   | 22544  | 0   | 0   |
| 231095 | GET    | ^/images/.+                          | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 28964  | 202131 | 0   | 0   |
| 457153 | GET    | ^/assets/.+                          | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 74075  | 383078 | 0   | 0   |
| 25677  | GET    | ^/client.*                           | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 3218   | 22459  | 0   | 0   |
+--------+--------+--------------------------------------+-------+--------+--------+------------+--------+--------+--------+-----+-----+
