+--------+--------+--------------------------------------+-------+--------+--------+-----------+--------+--------+--------+-----+-----+
| COUNT  | METHOD |                 URI                  |  MIN  |  AVG   |  MAX   |    SUM    |  P99   |  2XX   |  3XX   | 4XX | 5XX |
+--------+--------+--------------------------------------+-------+--------+--------+-----------+--------+--------+--------+-----+-----+
| 8478   | GET    | /api/app/notification                | 0.454 | 7.350  | 35.571 | 62316.490 | 15.780 | 8478   | 0      | 0   | 0   |
| 932    | GET    | /api/chair/notification              | 1.699 | 30.823 | 60.024 | 28727.021 | 60.016 | 932    | 0      | 0   | 0   |
| 151901 | POST   | /api/chair/coordinate                | 0.007 | 0.023  | 0.204  | 3498.036  | 0.080  | 151901 | 0      | 0   | 0   |
| 7387   | POST   | ^/api/app/rides/[0-9A-Z]+/evaluation | 0.033 | 0.160  | 0.968  | 1185.393  | 0.535  | 7387   | 0      | 0   | 0   |
| 15519  | POST   | ^/api/chair/rides/[0-9A-Z]+/status   | 0.001 | 0.036  | 0.231  | 562.313   | 0.118  | 15519  | 0      | 0   | 0   |
| 27673  | GET    | /api/app/rides                       | 0.001 | 0.016  | 0.117  | 435.257   | 0.069  | 27673  | 0      | 0   | 0   |
| 27671  | GET    | /api/app/nearby-chairs               | 0.001 | 0.016  | 0.124  | 432.164   | 0.070  | 27670  | 0      | 1   | 0   |
| 8558   | POST   | /api/app/rides                       | 0.001 | 0.041  | 0.243  | 354.959   | 0.157  | 8558   | 0      | 0   | 0   |
| 8562   | POST   | /api/app/rides/estimated-fare        | 0.001 | 0.029  | 0.146  | 251.900   | 0.095  | 8562   | 0      | 0   | 0   |
| 2474   | POST   | /api/app/users                       | 0.001 | 0.027  | 0.196  | 66.788    | 0.121  | 2474   | 0      | 0   | 0   |
| 2424   | POST   | /api/app/payment-methods             | 0.001 | 0.021  | 0.170  | 51.039    | 0.091  | 2424   | 0      | 0   | 0   |
| 908    | POST   | /api/chair/activity                  | 0.001 | 0.027  | 0.124  | 24.370    | 0.096  | 908    | 0      | 0   | 0   |
| 943    | POST   | /api/chair/chairs                    | 0.001 | 0.025  | 0.112  | 23.816    | 0.087  | 943    | 0      | 0   | 0   |
| 125    | GET    | /api/owner/sales                     | 0.003 | 0.175  | 0.961  | 21.882    | 0.715  | 125    | 0      | 0   | 0   |
| 1      | POST   | /api/initialize                      | 1.968 | 1.968  | 1.968  | 1.968     | 1.968  | 1      | 0      | 0   | 0   |
| 111    | GET    | /api/owner/chairs                    | 0.001 | 0.011  | 0.067  | 1.189     | 0.063  | 111    | 0      | 0   | 0   |
| 1      | GET    | /api/owner/sales?                    | 0.038 | 0.038  | 0.038  | 0.038     | 0.038  | 1      | 0      | 0   | 0   |
| 5      | POST   | /api/owner/owners                    | 0.000 | 0.001  | 0.001  | 0.003     | 0.001  | 5      | 0      | 0   | 0   |
| 37647  | GET    | /favicon-32x32.png                   | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 2480   | 35167  | 0   | 0   |
| 116    | GET    | ^/owner.*                            | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 6      | 110    | 0   | 0   |
| 37647  | GET    | /favicon.ico                         | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 2480   | 35167  | 0   | 0   |
| 1      | GET    | /apple-touch-icon-180x180.png        | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 1      | 0      | 0   | 0   |
| 1      | GET    | /index.html                          | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 1      | 0      | 0   | 0   |
| 1      | GET    | /favicon-128x128.png                 | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 1      | 0      | 0   | 0   |
| 337790 | GET    | ^/images/.+                          | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 22277  | 315513 | 0   | 0   |
| 654606 | GET    | ^/assets/.+                          | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 56987  | 597619 | 0   | 0   |
| 37532  | GET    | ^/client.*                           | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 2475   | 35057  | 0   | 0   |
+--------+--------+--------------------------------------+-------+--------+--------+-----------+--------+--------+--------+-----+-----+
