+--------+--------+--------------------------------------+-------+--------+--------+-----------+--------+--------+-----+-----+-----+
| COUNT  | METHOD |                 URI                  |  MIN  |  AVG   |  MAX   |    SUM    |  P99   |  2XX   | 3XX | 4XX | 5XX |
+--------+--------+--------------------------------------+-------+--------+--------+-----------+--------+--------+-----+-----+-----+
| 7008   | GET    | /api/app/notification                | 0.300 | 5.905  | 37.135 | 41380.894 | 21.175 | 7008   | 0   | 0   | 0   |
| 730    | GET    | /api/chair/notification              | 1.734 | 29.338 | 60.003 | 21416.703 | 60.003 | 730    | 0   | 0   | 0   |
| 7021   | POST   | /api/app/rides                       | 0.002 | 0.229  | 1.973  | 1610.742  | 1.326  | 7021   | 0   | 0   | 0   |
| 4974   | POST   | ^/api/app/rides/[0-9A-Z]+/evaluation | 0.030 | 0.311  | 3.623  | 1549.307  | 2.081  | 4974   | 0   | 0   | 0   |
| 7025   | POST   | /api/app/rides/estimated-fare        | 0.001 | 0.196  | 1.896  | 1374.472  | 1.391  | 7025   | 0   | 0   | 0   |
| 150852 | POST   | /api/chair/coordinate                | 0.001 | 0.007  | 0.216  | 1127.194  | 0.064  | 150852 | 0   | 0   | 0   |
| 105462 | GET    | /api/app/nearby-chairs               | 0.001 | 0.005  | 0.196  | 568.646   | 0.065  | 105461 | 0   | 1   | 0   |
| 105464 | GET    | /api/app/rides                       | 0.002 | 0.003  | 0.196  | 340.696   | 0.044  | 105464 | 0   | 0   | 0   |
| 2611   | POST   | /api/app/users                       | 0.001 | 0.039  | 1.588  | 102.545   | 0.681  | 2611   | 0   | 0   | 0   |
| 10980  | POST   | ^/api/chair/rides/[0-9A-Z]+/status   | 0.001 | 0.008  | 0.194  | 84.664    | 0.053  | 10980  | 0   | 0   | 0   |
| 2494   | POST   | /api/app/payment-methods             | 0.001 | 0.032  | 1.422  | 79.417    | 0.591  | 2494   | 0   | 0   | 0   |
| 821    | POST   | /api/chair/chairs                    | 0.001 | 0.030  | 1.770  | 24.401    | 0.625  | 821    | 0   | 0   | 0   |
| 704    | POST   | /api/chair/activity                  | 0.001 | 0.029  | 1.487  | 20.260    | 0.476  | 704    | 0   | 0   | 0   |
| 1      | POST   | /api/initialize                      | 2.033 | 2.033  | 2.033  | 2.033     | 2.033  | 1      | 0   | 0   | 0   |
| 89     | GET    | /api/owner/sales                     | 0.001 | 0.005  | 0.030  | 0.482     | 0.030  | 89     | 0   | 0   | 0   |
| 76     | GET    | /api/owner/chairs                    | 0.001 | 0.001  | 0.013  | 0.087     | 0.013  | 76     | 0   | 0   | 0   |
| 5      | POST   | /api/owner/owners                    | 0.001 | 0.001  | 0.001  | 0.003     | 0.001  | 5      | 0   | 0   | 0   |
| 23510  | GET    | ^/images/.+                          | 0.000 | 0.000  | 0.001  | 0.001     | 0.000  | 23510  | 0   | 0   | 0   |
| 2617   | GET    | /favicon-32x32.png                   | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 2617   | 0   | 0   | 0   |
| 6      | GET    | ^/owner.*                            | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 6      | 0   | 0   | 0   |
| 1      | GET    | /index.html                          | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 1      | 0   | 0   | 0   |
| 1      | GET    | /apple-touch-icon-180x180.png        | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 1      | 0   | 0   | 0   |
| 2617   | GET    | /favicon.ico                         | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 2617   | 0   | 0   | 0   |
| 1      | GET    | /favicon-128x128.png                 | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 1      | 0   | 0   | 0   |
| 1      | GET    | /api/owner/sales?                    | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 1      | 0   | 0   | 0   |
| 60071  | GET    | ^/assets/.+                          | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 60071  | 0   | 0   | 0   |
| 2612   | GET    | ^/client.*                           | 0.000 | 0.000  | 0.000  | 0.000     | 0.000  | 2612   | 0   | 0   | 0   |
+--------+--------+--------------------------------------+-------+--------+--------+-----------+--------+--------+-----+-----+-----+
