+--------+--------+--------------------------------------+-------+--------+--------+------------+--------+--------+-----+-----+-----+
| COUNT  | METHOD |                 URI                  |  MIN  |  AVG   |  MAX   |    SUM     |  P99   |  2XX   | 3XX | 4XX | 5XX |
+--------+--------+--------------------------------------+-------+--------+--------+------------+--------+--------+-----+-----+-----+
| 21939  | GET    | /api/app/notification                | 0.390 | 7.141  | 38.832 | 156677.317 | 15.235 | 21939  | 0   | 0   | 0   |
| 1531   | GET    | /api/chair/notification              | 2.204 | 33.756 | 60.461 | 51680.881  | 60.011 | 1531   | 0   | 0   | 0   |
| 343985 | POST   | /api/chair/coordinate                | 0.000 | 0.030  | 0.271  | 10316.516  | 0.166  | 343985 | 0   | 0   | 0   |
| 18200  | POST   | ^/api/app/rides/[0-9A-Z]+/evaluation | 0.030 | 0.253  | 1.288  | 4599.475   | 0.983  | 18200  | 0   | 0   | 0   |
| 22213  | POST   | /api/app/rides                       | 0.001 | 0.082  | 0.691  | 1820.803   | 0.410  | 22213  | 0   | 0   | 0   |
| 22217  | POST   | /api/app/rides/estimated-fare        | 0.001 | 0.066  | 0.695  | 1466.514   | 0.349  | 22217  | 0   | 0   | 0   |
| 38243  | POST   | ^/api/chair/rides/[0-9A-Z]+/status   | 0.001 | 0.032  | 0.258  | 1216.666   | 0.172  | 38243  | 0   | 0   | 0   |
| 24945  | GET    | /api/app/rides                       | 0.001 | 0.019  | 0.230  | 481.563    | 0.142  | 24945  | 0   | 0   | 0   |
| 24943  | GET    | /api/app/nearby-chairs               | 0.001 | 0.018  | 0.247  | 459.487    | 0.137  | 24942  | 0   | 1   | 0   |
| 4492   | POST   | /api/app/users                       | 0.001 | 0.071  | 0.591  | 319.135    | 0.370  | 4492   | 0   | 0   | 0   |
| 4461   | POST   | /api/app/payment-methods             | 0.001 | 0.038  | 0.675  | 170.734    | 0.308  | 4461   | 0   | 0   | 0   |
| 2199   | POST   | /api/chair/chairs                    | 0.001 | 0.035  | 0.750  | 76.894     | 0.357  | 2199   | 0   | 0   | 0   |
| 1506   | POST   | /api/chair/activity                  | 0.001 | 0.045  | 0.721  | 67.991     | 0.380  | 1506   | 0   | 0   | 0   |
| 1      | POST   | /api/initialize                      | 1.985 | 1.985  | 1.985  | 1.985      | 1.985  | 1      | 0   | 0   | 0   |
| 90     | GET    | /api/owner/sales                     | 0.001 | 0.008  | 0.061  | 0.693      | 0.061  | 90     | 0   | 0   | 0   |
| 67     | GET    | /api/owner/chairs                    | 0.001 | 0.004  | 0.048  | 0.268      | 0.048  | 67     | 0   | 0   | 0   |
| 5      | POST   | /api/owner/owners                    | 0.001 | 0.000  | 0.001  | 0.002      | 0.001  | 5      | 0   | 0   | 0   |
| 1      | GET    | /api/owner/sales?                    | 0.001 | 0.001  | 0.001  | 0.001      | 0.001  | 1      | 0   | 0   | 0   |
| 4498   | GET    | /favicon-32x32.png                   | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 4498   | 0   | 0   | 0   |
| 6      | GET    | ^/owner.*                            | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 6      | 0   | 0   | 0   |
| 4498   | GET    | /favicon.ico                         | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 4498   | 0   | 0   | 0   |
| 1      | GET    | /index.html                          | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 1      | 0   | 0   | 0   |
| 1      | GET    | /favicon-128x128.png                 | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 1      | 0   | 0   | 0   |
| 40439  | GET    | ^/images/.+                          | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 40439  | 0   | 0   | 0   |
| 103420 | GET    | ^/assets/.+                          | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 103420 | 0   | 0   | 0   |
| 1      | GET    | /apple-touch-icon-180x180.png        | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 1      | 0   | 0   | 0   |
| 4493   | GET    | ^/client.*                           | 0.000 | 0.000  | 0.000  | 0.000      | 0.000  | 4493   | 0   | 0   | 0   |
+--------+--------+--------------------------------------+-------+--------+--------+------------+--------+--------+-----+-----+-----+
