COMMAND                   AVG_CPU%
mysqld                        81.2
pidstat                        0.7
jbd2/nvme0n1p1-8               0.3
vmstat                         0.0
udisksd                        0.0
systemd-logind                 0.0
snapd                          0.0
polkitd                        0.0
multipathd                     0.0
ModemManager                   0.0
kworker/u8:3-events_unbound       0.0
kworker/u8:3-events_power_efficient       0.0
kworker/u8:2-events_unbound       0.0
kworker/u8:1-flush-259:0       0.0
kworker/u8:1-events_unbound       0.0
